datum,naslov,dnevni zaslužek
Mar 14,Hoppers,12513955
Mar 13,Reminders of Him,8108715
Mar 12,Hoppers,2890921
Mar 11,Hoppers,2880182
Mar 10,Hoppers,4469034
Mar 9,Hoppers,2710962
Mar 8,Hoppers,12945148
Mar 7,Hoppers,18864597
Mar 6,Hoppers,13540056
Mar 5,Scream 7,2122171
Mar 4,Scream 7,2572746
Mar 3,Scream 7,4395844
Mar 2,Scream 7,3368227
Mar 1,Scream 7,12607979
Feb 28,Scream 7,21655431
Feb 27,Scream 7,29351762
Feb 26,Wuthering Heights,1118547
Feb 25,Wuthering Heights,1304543
Feb 24,Wuthering Heights,1980061
Feb 23,Wuthering Heights,1177554
Feb 22,GOAT,4961563
Feb 21,GOAT,8031150
Feb 20,Wuthering Heights,4680012
Feb 19,Wuthering Heights,2410187
Feb 18,Wuthering Heights,2398743
Feb 17,Wuthering Heights,3501448
Feb 16Presidents' Day,GOAT,7915756
Feb 15,GOAT,8303784
Feb 14,Wuthering Heights,14000897
Feb 13,Wuthering Heights,10800619
Feb 12,Send Help,748328
Feb 11,Send Help,928525
Feb 10,Send Help,1453400
Feb 9,Send Help,914465
Feb 8,Send Help,1426305
Feb 7,Send Help,4714821
Feb 6,Solo Mio,3229877
Feb 5,Send Help,1332460
Feb 4,Send Help,1464197
Feb 3,Send Help,2499011
Feb 2,Send Help,1441781
Feb 1,Send Help,4717932
Jan 31,Send Help,7111352
Jan 30,Iron Lung,9000000
Jan 29,Mercy,614173
Jan 28,Mercy,877641
Jan 27,Mercy,1515783
Jan 26,Mercy,861044
Jan 25,Mercy,1816034
Jan 24,Mercy,3987768
Jan 23,Mercy,5005376
Jan 22,Avatar: Fire and Ash,802830
Jan 21,Avatar: Fire and Ash,1012647
Jan 20,Avatar: Fire and Ash,1536220
Jan 19MLK Day,Zootopia 2,3664528
Jan 18,Avatar: Fire and Ash,5310230
Jan 17,Avatar: Fire and Ash,5988962
Jan 16,28 Years Later: The Bone Temple,5596864
Jan 15,Avatar: Fire and Ash,1481101
Jan 14,Avatar: Fire and Ash,1728662
Jan 13,Avatar: Fire and Ash,2567765
Jan 12,Avatar: Fire and Ash,1640012
Jan 11,Avatar: Fire and Ash,6497780
Jan 10,Avatar: Fire and Ash,9923065
Jan 9,Avatar: Fire and Ash,5081427
Jan 8,Avatar: Fire and Ash,2541443
Jan 7,Avatar: Fire and Ash,2887228
Jan 6,Avatar: Fire and Ash,4529556
Jan 5,Avatar: Fire and Ash,3655199
Jan 4,Avatar: Fire and Ash,11048150
Jan 3,Avatar: Fire and Ash,16336950
Jan 2,Avatar: Fire and Ash,14034307
Jan 1New Year's Day,Avatar: Fire and Ash,15903826
